S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,H_log,best_beta,error_percent,q
300,300,0.1,50,5,276.0,0.4,250,69.1395,67.9989,67.9989,8.0,0.0834,0.6099,1.6497,0
300,300,0.1,50,5,276.0,0.5,250,69.6563,67.8504,67.8504,8.0,0.0834,0.611,2.5926,0
300,300,0.1,50,4,277.0,0.3,250,63.0843,62.8193,62.8193,7.6667,0.0798,0.591,0.4201,0
300,300,0.1,50,4,277.0,0.4,250,61.6334,60.8103,60.8103,7.6667,0.0798,0.6089,1.3355,0
300,300,0.1,50,4,277.0,0.5,250,62.6888,61.1897,61.1897,7.6667,0.0798,0.611,2.3913,0
300,300,0.1,50,5,277.0,0.3,250,70.2452,69.8499,69.8499,7.6667,0.0798,0.591,0.5627,0
300,300,0.1,50,5,277.0,0.4,250,68.0373,66.7807,66.7807,7.6667,0.0798,0.611,1.8469,0
300,300,0.1,50,5,277.0,0.5,250,68.8522,66.7236,66.7236,7.6667,0.0798,0.611,3.0915,0
300,300,0.1,50,4,278.0,0.3,250,61.8244,61.5492,61.5492,7.3333,0.0762,0.591,0.4451,0
300,300,0.1,50,4,278.0,0.4,250,60.5164,59.6382,59.6382,7.3333,0.0762,0.6089,1.4512,0
300,300,0.1,50,4,278.0,0.5,250,61.594,60.0912,60.0912,7.3333,0.0762,0.611,2.4398,0
300,300,0.1,50,5,278.0,0.3,250,69.0697,68.4867,68.4867,7.3333,0.0762,0.5989,0.8441,0
300,300,0.1,50,5,278.0,0.4,250,66.818,65.5526,65.5526,7.3333,0.0762,0.611,1.8938,0
300,300,0.1,50,5,278.0,0.5,250,68.0142,65.5907,65.5907,7.3333,0.0762,0.611,3.5632,0
300,300,0.1,50,4,279.0,0.3,250,60.5644,60.2604,60.2604,7.0,0.0726,0.591,0.5019,0
300,300,0.1,50,4,279.0,0.4,250,59.4388,58.4555,58.4555,7.0,0.0726,0.609,1.6543,0
300,300,0.1,50,4,279.0,0.5,250,60.7057,58.986,58.986,7.0,0.0726,0.611,2.8328,0
300,300,0.1,50,5,279.0,0.3,250,67.7586,67.1052,67.1052,7.0,0.0726,0.6,0.9643,0
300,300,0.1,50,5,279.0,0.4,250,65.8629,64.3145,64.3145,7.0,0.0726,0.611,2.3509,0
300,300,0.1,50,5,279.0,0.5,250,66.8368,64.4516,64.4516,7.0,0.0726,0.611,3.5687,0
300,300,0.1,50,4,280.0,0.3,250,59.4415,58.9526,58.9526,6.6667,0.069,0.5989,0.8225,0
300,300,0.1,50,4,280.0,0.4,250,58.4485,57.2622,57.2622,6.6667,0.069,0.611,2.0297,0
300,300,0.1,50,4,280.0,0.5,250,59.8297,57.874,57.874,6.6667,0.069,0.611,3.2688,0
300,300,0.1,50,5,280.0,0.3,250,66.5548,65.7053,65.7053,6.6667,0.069,0.6089,1.2764,0
300,300,0.1,50,5,280.0,0.4,250,64.8068,63.0664,63.0664,6.6667,0.069,0.611,2.6855,0
300,300,0.1,50,5,280.0,0.5,250,65.8401,63.3064,63.3064,6.6667,0.069,0.611,3.8483,0
300,300,0.1,50,4,281.0,0.3,250,58.2157,57.6259,57.6259,6.3333,0.0654,0.601,1.0131,0
300,300,0.1,50,4,281.0,0.4,250,57.437,56.0582,56.0582,6.3333,0.0654,0.611,2.4005,0
300,300,0.1,50,4,281.0,0.5,250,58.8096,56.7553,56.7553,6.3333,0.0654,0.611,3.4931,0
300,300,0.1,50,5,281.0,0.3,250,65.2688,64.2871,64.2871,6.3333,0.0654,0.6089,1.5041,0
300,300,0.1,50,5,281.0,0.4,250,63.7012,61.8084,61.8084,6.3333,0.0654,0.611,2.9714,0
300,300,0.1,50,5,281.0,0.5,250,65.0298,62.1552,62.1552,6.3333,0.0654,0.611,4.4204,0
300,300,0.1,50,4,282.0,0.3,250,56.9363,56.28,56.28,6.0,0.0619,0.601,1.1527,0
300,300,0.1,50,4,282.0,0.4,250,56.279,54.8435,54.8435,6.0,0.0619,0.611,2.5507,0
300,300,0.1,50,4,282.0,0.5,250,57.8523,55.63,55.63,6.0,0.0619,0.611,3.8413,0
300,300,0.1,50,5,282.0,0.3,250,63.9037,62.8503,62.8503,6.0,0.0619,0.61,1.6484,0
300,300,0.1,50,5,282.0,0.4,250,62.675,60.5404,60.5404,6.0,0.0619,0.611,3.4058,0
300,300,0.1,50,5,282.0,0.5,250,63.8766,60.9978,60.9978,6.0,0.0619,0.611,4.5068,0
300,300,0.1,50,4,283.0,0.3,250,55.7377,54.9149,54.9149,5.6667,0.0583,0.6089,1.4762,0
300,300,0.1,50,4,283.0,0.4,250,55.2965,53.6181,53.6181,5.6667,0.0583,0.611,3.0353,0
300,300,0.1,50,4,283.0,0.5,250,56.9449,54.4979,54.4979,5.6667,0.0583,0.611,4.2971,0
300,300,0.1,50,5,283.0,0.3,250,62.5846,61.3948,61.3948,5.6667,0.0583,0.611,1.9011,0
300,300,0.1,50,5,283.0,0.4,250,61.4424,59.2624,59.2624,5.6667,0.0583,0.611,3.548,0
300,300,0.1,50,5,283.0,0.5,250,62.9297,59.8343,59.8343,5.6667,0.0583,0.611,4.9188,0
300,300,0.1,50,4,284.0,0.3,250,54.4763,53.5305,53.5305,5.3333,0.0548,0.6109,1.7362,0
300,300,0.1,50,4,284.0,0.4,250,54.1299,52.3821,52.3821,5.3333,0.0548,0.611,3.2289,0
300,300,0.1,50,4,284.0,0.5,250,56.008,53.3592,53.3592,5.3333,0.0548,0.611,4.7293,0
300,300,0.1,50,5,284.0,0.3,250,61.249,59.9206,59.9206,5.3333,0.0548,0.611,2.1689,0
300,300,0.1,50,5,284.0,0.4,250,60.3262,57.9745,57.9745,5.3333,0.0548,0.611,3.8983,0
300,300,0.1,50,5,284.0,0.5,250,62.008,58.6648,58.6648,5.3333,0.0548,0.611,5.3916,0
300,300,0.1,50,4,285.0,0.3,250,53.1653,52.1265,52.1265,5.0,0.0513,0.611,1.9539,0
300,300,0.1,50,4,285.0,0.4,250,53.146,51.1353,51.1353,5.0,0.0513,0.611,3.7834,0
300,300,0.1,50,4,285.0,0.5,250,55.1041,52.2137,52.2137,5.0,0.0513,0.611,5.2453,0
300,300,0.1,50,5,285.0,0.3,250,59.9742,58.4276,58.4276,5.0,0.0513,0.611,2.5788,0
300,300,0.1,50,5,285.0,0.4,250,59.1356,56.6765,56.6765,5.0,0.0513,0.611,4.1584,0
300,300,0.1,50,5,285.0,0.5,250,61.2085,57.4892,57.4892,5.0,0.0513,0.6889,6.0764,0
300,300,0.1,50,4,286.0,0.3,250,51.9497,50.703,50.703,4.6667,0.0478,0.611,2.3998,0
300,300,0.1,50,4,286.0,0.4,250,51.9933,49.8779,49.8779,4.6667,0.0478,0.611,4.0686,0
300,300,0.1,50,4,286.0,0.5,250,53.9943,51.0617,51.0617,4.6667,0.0478,0.611,5.4313,0
300,300,0.1,50,5,286.0,0.3,250,58.7042,56.9156,56.9156,4.6667,0.0478,0.611,3.0468,0
300,300,0.1,50,5,286.0,0.4,250,58.281,55.3685,55.3685,4.6667,0.0478,0.611,4.9973,0
300,300,0.1,50,5,286.0,0.5,250,60.0479,56.3075,56.3075,4.6667,0.0478,0.6889,6.229,0
300,300,0.1,50,4,287.0,0.3,250,50.6999,49.2598,49.2598,4.3333,0.0443,0.611,2.8404,0
300,300,0.1,50,4,287.0,0.4,250,51.0397,48.6097,48.6097,4.3333,0.0443,0.611,4.761,0
300,300,0.1,50,4,287.0,0.5,250,53.1202,49.903,49.903,4.3333,0.0443,0.6889,6.0565,0
300,300,0.1,50,5,287.0,0.3,250,57.3559,55.3845,55.3845,4.3333,0.0443,0.611,3.4371,0
300,300,0.1,50,5,287.0,0.4,250,57.1166,54.0505,54.0505,4.3333,0.0443,0.611,5.3681,0
300,300,0.1,50,5,287.0,0.5,250,59.2747,55.1198,55.1198,4.3333,0.0443,0.6889,7.0096,0
300,300,0.1,50,4,288.0,0.3,250,49.4228,47.7968,47.7968,4.0,0.0408,0.611,3.29,0
300,300,0.1,50,4,288.0,0.4,250,49.9501,47.3308,47.3308,4.0,0.0408,0.611,5.2438,0
300,300,0.1,50,4,288.0,0.5,250,52.1237,48.7376,48.7376,4.0,0.0408,0.6889,6.4963,0
300,300,0.1,50,5,288.0,0.3,250,55.9988,53.8343,53.8343,4.0,0.0408,0.611,3.8653,0
300,300,0.1,50,5,288.0,0.4,250,56.1518,52.7225,52.7225,4.0,0.0408,0.6889,6.1072,0
300,300,0.1,50,5,288.0,0.5,250,58.2615,53.926,53.926,4.0,0.0408,0.6889,7.4414,0
300,300,0.1,50,4,289.0,0.3,250,48.1699,46.3139,46.3139,3.6667,0.0374,0.611,3.853,0
300,300,0.1,50,4,289.0,0.4,250,48.8383,46.0412,46.0412,3.6667,0.0374,0.611,5.7273,0
300,300,0.1,50,4,289.0,0.5,250,51.2597,47.5657,47.5657,3.6667,0.0374,0.6889,7.2064,0
300,300,0.1,50,5,289.0,0.3,250,54.7517,52.2648,52.2648,3.6667,0.0374,0.611,4.5421,0
300,300,0.1,50,5,289.0,0.4,250,54.9937,51.3844,51.3844,3.6667,0.0374,0.6889,6.5631,0
300,300,0.1,50,5,289.0,0.5,250,57.2956,52.7263,52.7263,3.6667,0.0374,0.6889,7.975,0
300,300,0.1,50,4,290.0,0.3,250,46.9718,44.8109,44.8109,3.3333,0.0339,0.611,4.6004,0
300,300,0.1,50,4,290.0,0.4,250,47.8169,44.7408,44.7408,3.3333,0.0339,0.6889,6.4331,0
300,300,0.1,50,4,290.0,0.5,250,50.3164,46.3871,46.3871,3.3333,0.0339,0.6889,7.8092,0
300,300,0.1,50,5,290.0,0.3,250,53.445,50.676,50.676,3.3333,0.0339,0.611,5.181,0
300,300,0.1,50,5,290.0,0.4,250,54.0191,50.0364,50.0364,3.3333,0.0339,0.6889,7.3728,0
300,300,0.1,50,5,290.0,0.5,250,56.3867,51.5205,51.5205,3.3333,0.0339,0.6889,8.63,0
300,300,0.1,50,4,291.0,0.3,250,45.6846,43.2878,43.2878,3.0,0.0305,0.611,5.2464,0
300,300,0.1,50,4,291.0,0.4,250,46.6575,43.4297,43.4297,3.0,0.0305,0.6889,6.9181,0
300,300,0.1,50,4,291.0,0.5,250,49.4459,45.202,45.202,3.0,0.0305,0.6889,8.5829,0
300,300,0.1,50,5,291.0,0.3,250,52.2125,49.0677,49.0677,3.0,0.0305,0.6889,6.0231,0
300,300,0.1,50,5,291.0,0.4,250,52.7766,48.6783,48.6783,3.0,0.0305,0.6889,7.7654,0
300,300,0.1,50,5,291.0,0.5,250,55.2597,50.3087,50.3087,3.0,0.0305,0.6889,8.9595,0
300,300,0.1,50,4,292.0,0.3,250,44.4328,41.7445,41.7445,2.6667,0.027,0.6889,6.0503,0
300,300,0.1,50,4,292.0,0.4,250,45.7928,42.1078,42.1078,2.6667,0.027,0.6889,8.0471,0
300,300,0.1,50,4,292.0,0.5,250,48.5058,44.0102,44.0102,2.6667,0.027,0.6889,9.2682,0
300,300,0.1,50,5,292.0,0.3,250,50.9316,47.4398,47.4398,2.6667,0.027,0.6889,6.8559,0
300,300,0.1,50,5,292.0,0.4,250,51.8949,47.3102,47.3102,2.6667,0.027,0.6889,8.8346,0
300,300,0.1,50,5,292.0,0.5,250,54.5144,49.091,49.091,2.6667,0.027,0.6889,9.9486,0
300,300,0.1,50,4,293.0,0.3,250,43.1253,40.1807,40.1807,2.3333,0.0236,0.6889,6.828,0
300,300,0.1,50,4,293.0,0.4,250,44.7251,40.7752,40.7752,2.3333,0.0236,0.6889,8.8315,0
300,300,0.1,50,4,293.0,0.5,250,47.7224,42.8119,42.8119,2.3333,0.0236,0.6889,10.2897,0
300,300,0.1,50,5,293.0,0.3,250,49.6504,45.7923,45.7923,2.3333,0.0236,0.6889,7.7705,0
300,300,0.1,50,5,293.0,0.4,250,50.7012,45.932,45.932,2.3333,0.0236,0.6889,9.4065,0
300,300,0.1,50,5,293.0,0.5,250,53.832,47.8672,47.8672,2.3333,0.0236,0.6899,11.0804,0
300,300,0.1,50,4,294.0,0.3,250,41.9173,38.5966,38.5966,2.0,0.0202,0.6889,7.922,0
300,300,0.1,50,4,294.0,0.4,250,43.7341,39.4319,39.4319,2.0,0.0202,0.6889,9.8372,0
300,300,0.1,50,4,294.0,0.5,250,46.8192,41.6071,41.6071,2.0,0.0202,0.6889,11.1324,0
300,300,0.1,50,5,294.0,0.3,250,48.3817,44.1251,44.1251,2.0,0.0202,0.6889,8.798,0
300,300,0.1,50,5,294.0,0.4,250,49.7105,44.5438,44.5438,2.0,0.0202,0.6889,10.3936,0
300,300,0.1,50,5,294.0,0.5,250,52.7082,46.6375,46.6375,2.0,0.0202,0.6909,11.5176,0
300,300,0.1,50,4,295.0,0.3,250,40.6833,36.9918,36.9918,1.6667,0.0168,0.6889,9.0737,0
300,300,0.1,50,4,295.0,0.4,250,42.6888,38.0777,38.0777,1.6667,0.0168,0.6889,10.8017,0
300,300,0.1,50,4,295.0,0.5,250,45.8854,40.3957,40.3957,1.6667,0.0168,0.691,11.9639,0
300,300,0.1,50,5,295.0,0.3,250,47.033,42.4379,42.4379,1.6667,0.0168,0.6889,9.7699,0
300,300,0.1,50,5,295.0,0.4,250,48.6713,43.1455,43.1455,1.6667,0.0168,0.69,11.3533,0
300,300,0.1,50,5,295.0,0.5,250,52.0212,45.4018,45.4018,1.6667,0.0168,0.6999,12.7244,0
300,300,0.1,50,4,296.0,0.3,250,39.4812,35.3664,35.3664,1.3333,0.0134,0.6889,10.4222,0
300,300,0.1,50,4,296.0,0.4,250,41.6379,36.7128,36.7128,1.3333,0.0134,0.691,11.8284,0
300,300,0.1,50,4,296.0,0.5,250,44.942,39.1777,39.1777,1.3333,0.0134,0.6989,12.8261,0
300,300,0.1,50,5,296.0,0.3,250,45.7749,40.7308,40.7308,1.3333,0.0134,0.6899,11.0194,0
300,300,0.1,50,5,296.0,0.4,250,47.5932,41.7372,41.7372,1.3333,0.0134,0.6989,12.3043,0
300,300,0.1,50,5,296.0,0.5,250,50.9273,44.1602,44.1602,1.3333,0.0134,0.701,13.2878,0
300,300,0.1,50,4,297.0,0.3,250,38.2461,33.7201,33.7201,1.0,0.0101,0.691,11.8339,0
300,300,0.1,50,4,297.0,0.4,250,40.6488,35.3372,35.3372,1.0,0.0101,0.6999,13.0671,0
300,300,0.1,50,4,297.0,0.5,250,44.1305,37.9533,37.9533,1.0,0.0101,0.7089,13.9976,0
300,300,0.1,50,5,297.0,0.3,250,44.5015,39.0037,39.0037,1.0,0.0101,0.6989,12.3542,0
300,300,0.1,50,5,297.0,0.4,250,46.6563,40.3188,40.3188,1.0,0.0101,0.701,13.5834,0
300,300,0.1,50,5,297.0,0.5,250,50.0973,42.9127,42.9127,1.0,0.0101,0.7089,14.3413,0
300,300,0.1,50,4,298.0,0.3,250,37.0933,32.053,32.053,0.6667,0.0067,0.701,13.5882,0
300,300,0.1,50,4,298.0,0.4,250,39.6022,33.9507,33.9507,0.6667,0.0067,0.7089,14.2707,0
300,300,0.1,50,4,298.0,0.5,250,43.116,36.7223,36.7223,0.6667,0.0067,0.7089,14.8291,0
300,300,0.1,50,5,298.0,0.3,250,43.3247,37.2564,37.2564,0.6667,0.0067,0.7089,14.0066,0
300,300,0.1,50,5,298.0,0.4,250,45.5856,38.8904,38.8904,0.6667,0.0067,0.7099,14.6871,0
300,300,0.1,50,5,298.0,0.5,250,49.0772,41.6592,41.6592,0.6667,0.0067,0.711,15.115,0
